Name,Location,URL,Cuisine,Award,Price,Address
Oh Panama,"Berlin, Germany",https://guide.michelin.com/en/berlin-region/berlin/restaurant/panama,Farm to table,Selected Restaurants,€€,"Potsdamer Straße 91, Berlin, 10785, Germany"
erasmus,"Karlsruhe, Germany",https://guide.michelin.com/en/baden-wurttemberg/karlsruhe/restaurant/erasmus,"Italian, Farm to table",Selected Restaurants,€€€,"Nürnberger Straße 1, Karlsruhe, 76199, Germany"
La Terrasse,"Nara, Japan",https://guide.michelin.com/en/nara-region/nara/restaurant/la-terrasse-1197095,French,Selected Restaurants,¥¥¥,"98-1 Kasuganocho, Nara, Nara, 630-8212, Japan"
Izär,"Rio de Janeiro, Brazil",https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/izar,"Spanish, Rice Dishes",Selected Restaurants,$$,"Rua Barão Da Torre, 538, Rio de Janeiro, 22411-002, Brazil"
Parfums de cuisine,"Namur, Belgium",https://guide.michelin.com/en/namur/namur/restaurant/parfums-de-cuisine,French,Selected Restaurants,€€€,"rue du Bailly 10, Namur, 5000, Belgium"
Calla's,"Aalter, Belgium",https://guide.michelin.com/en/oost-vlaanderen/aalter/restaurant/calla-s,Seasonal Cuisine,Selected Restaurants,€€€,"Stationsstraat 250, Aalter, 9880, Belgium"
FRANQ,"Antwerpen, Belgium",https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/franq,Modern Cuisine,Selected Restaurants,€€€,"Kipdorp 10, Antwerpen, 2000, Belgium"
't Truffeltje,"Dendermonde, Belgium",https://guide.michelin.com/en/oost-vlaanderen/dendermonde/restaurant/t-truffeltje,"Modern French, Modern Cuisine",Selected Restaurants,€€€,"Bogaerdstraat 20, Dendermonde, 9200, Belgium"
Fiola Miami,"Coral Gables, USA",https://guide.michelin.com/en/florida/coral-gables/restaurant/fiola-miami,"Italian, Seafood",Selected Restaurants,$$$$,"1500 San Ignacio Ave., Coral Gables, 33146, USA"
Patern,"Nancy, France",https://guide.michelin.com/en/grand-est/nancy/restaurant/patern,Modern Cuisine,Selected Restaurants,€€€,"60 rue Stanislas, Nancy, 54000, France"
